node_1|node_2|edge|chunk_id|node_3|node_4
classical mechanics|quantum theory|From a pure intellectual perspective, from a metaphysical perspective, we see analogs for these ideological challenges in the search for a so-called Unified Field Theory where Classical Mechanics and Quantum Theory both coexist.|568f10f17e7b40edb122de1200e7f24e||
eastern philosophical traditions|spread of eastern philosophical traditions|Since the beginning of the 20th century, due to globalization and technological advancements, Eastern philosophical traditions have spread beyond their traditional borders in the West. This diffusion has been largely driven by materialistic factors, such as an obsession with health and well-being. However, this spread also has significant philosophical and theological implications. The Eastern worldview is now familiar to many people in the West, and the concept of an underlying, active consciousness that manifests both the mind and physical world is not entirely foreign or outrageous.|b998d992c22c43d9b920a21b5424e4aa||
eastern philosophical traditions|rejection by scientific community|Despite the fact that the idea of an underlying, active consciousness from which both the mind and physical world manifest rests or depends upon for existence has been largely rejected by the Scientific community.|b998d992c22c43d9b920a21b5424e4aa||
religion|theological belief systems|The rational foundations of Religion, theology, has been under attack since the Scientific Revolution more or less. These forms of Eastern philosophy integrate theology and metaphysics, along with spiritual practices like meditation, to facilitate and demonstrate the underlying ontological truth of said theological belief systems.|6fbb710e9c8241a9b484791fdf62911b||
religion|islam|In particular, Islam is looked upon almost as barbaric in a way, as we see for example in how Islam is viewed.|6fbb710e9c8241a9b484791fdf62911b||
religion|terrorism|These trends have not only metaphysical and theological implications, but also moral and ethical ones as well. The problem effectively runs across a variety of intellectual lines but, like alcoholism or drug addiction or any problem for that matter, the first step to solving said problem is recognizing that there is in fact a problem.|6fbb710e9c8241a9b484791fdf62911b||
religion|morality and ethics|A further attack on the religious establishment while (superficially) many may not have a problem with, and many in the atheist community especially directly espouse, leads us to the very precarious position again as to the basis of, and fundamental attributes of, morality and ethics.|6fbb710e9c8241a9b484791fdf62911b||
scale of some of these issues|inherent complexity|require action at the individual level in order for us to at least have a fighting chance to solve them. Politics is local as they say.|2d37d4cc51cb402685ac2df5987b839b||
individual problems we have laid out|level of crisis that we are at given the scope of all of the problems put together|It's not clear that we as a global community have reached that conclusion yet - not just for each of the individual problems we have laid out, but even the level of crisis that we are at given the scope of all of the problems put together.|2d37d4cc51cb402685ac2df5987b839b||
individual problems|each of them individually and then the group of them collectively|Having said that, certainly a step in the right direction is to try and establish the proper and appropriate intellectual framework out of which the solutions to these problems - each of them individually and then the group of them collectively - at least have the potential of being solved.|2d37d4cc51cb402685ac2df5987b839b||
nation-state and global level|socio-political structures|need to be established that again have the appropriate intellectual paradigm or worldview such that the problems can be attacked and addressed at the nation-state and global level - a two-pronged approach as it were.|2d37d4cc51cb402685ac2df5987b839b||
intellectual framework|proper and appropriate intellectual framework|From the author's point of view at least, in order to establish the proper and appropriate intellectual framework we must truly recognize - from an epistemological perspective - that...|db5b40459bf342e7b978a9727d1303fc||
supracconsciousness|underlying ground of existence|...that the underlying ground of existence, what we have called supraconsciousness,|db5b40459bf342e7b978a9727d1303fc||
mystical experience|ethereal thing|...and the countless other messages from saints and prophets throughout the ages,|db5b40459bf342e7b978a9727d1303fc||
son of a carpenter|jesus christ|...some two thousand years ago, and the countless other messages from saints and prophets throughout the ages,|db5b40459bf342e7b978a9727d1303fc||
social good|liberal or philosophical idea|God - if he does indeed exist - needs to be placed on former, more realistic, footing such that morality and the social good in and of itself is not a 'liberal' or philosophical idea,|db5b40459bf342e7b978a9727d1303fc||
interconnectedness|all living beings|...but is the most practical of rational deductions that is based upon the fundamental understanding of the interconnectedness of all living beings - again not on just an intellectual or ethereal level, but on a practical and very grounded level as reflected in the 'mystical' experience as it is understood by the Eastern philosophical traditions.|db5b40459bf342e7b978a9727d1303fc||
dualistic world|objectivity|in this context, the concept of a dualistic world is related to the concept of objectivity because even the very description of the problem of determining the extent to which mystical frameworks can be laid out in a pure rational model is tainted with objectivity, as it presupposes a separation between that which is perceived and the perceiver. This separation reinforces the dualistic nature of our worldview.|b609b63826684f3c9c9a1c5f1205d61a||
divine being|god|the concept of a divine being, i.e. God, is related to the concept of God because both concepts refer to a supernatural entity that is believed to have created the universe and us.|b609b63826684f3c9c9a1c5f1205d61a||
intellectual paradigm|context of crises|the concept of an intellectual paradigm is related to the context of crises because the need for an intellectual paradigm arises in response to the challenges and threats that are confronting us during times of crisis.|b609b63826684f3c9c9a1c5f1205d61a||
necessary condition|successfully through the crisis of our time|the concept of a necessary condition is related to the concept of successfully passing through the crisis of our time because both concepts refer to conditions that must be met in order for us to overcome the challenges and threats we face during times of crisis.|b609b63826684f3c9c9a1c5f1205d61a||
ontology|being|Ontology is the science of being or reality.|4cbb36d05c10435fa89408ee324c58b0||
ontology|reality|Ontology is the science of reality.|4cbb36d05c10435fa89408ee324c58b0||
being|existence|Being and existence are often used interchangeably, but being may also refer to qualities or attributes beyond simple existence.|4cbb36d05c10435fa89408ee324c58b0||
ontology|science|Ontology is a scientific discipline that explores the nature of being and reality.|4cbb36d05c10435fa89408ee324c58b0||
reality|objective|Reality is often considered objective, implying a separation between the subject (observer) and object (being observed).|4cbb36d05c10435fa89408ee324c58b0||
indo-european linguistic construct|subject verb object|providing a tremendously powerful intellectual tool through which we can not only explore our reality, our world - describe it, articulate it, improve upon it, etc. - but also persist information and knowledge itself so that the sum total of knowledge is carried forward from one generation to the next with a high degree of specificity.|54c50bfcac78406189298b35e66a867f||
subject-object-metaphysics|linguistic framework|embedded into not just our intellectual framework, but even our linguistic framework as well, leaving us with a classical chick and egg problem as it were. Once that linguistic invention is applied, we are left with the foregone conclusion that our worldview must be reductionist - it has to be, because that is the only way we can express anything, in any Indo-European language really, the language family that that has provided the linguistic, and effectively the intellectual, foundations of the West. Every time you try and solve it you go further down the rabbit hole as it were.|54c50bfcac78406189298b35e66a867f||
god|creation|God is everything, God is in everything and as such is the ground of all experience and in turn is the (intellectual as well as physical and spiritual) ground of experience in and of itself - this is essentially what we find in Upanishadic philosophy as Satcitānanda and in the West is reflected perhaps most eloquently in the Neo-Platonic One. So linguistically then, we are almost forced to go back to the very foundations of theology, metaphysics really, in order to connect this very ancient notion of God as an integral aspect of his creation - God is everything, God is in everything and as such is the ground of all experience and in turn is the (intellectual as well as physical and spiritual) ground of experience in and of itself.|03036991c3c1430194b17a581d17aeac||
god|experience|God is the (intellectual as well as physical and spiritual) ground of experience in and of itself.|03036991c3c1430194b17a581d17aeac||
satcitānanda|god|Essentially what we find in Upanishadic philosophy as Satcitānanda is God.|03036991c3c1430194b17a581d17aeac||
neo-platonism|one|The Neo-Platonic One reflects perhaps most eloquently in the West what we find in Upanishadic philosophy as Satcitānanda.|03036991c3c1430194b17a581d17aeac||
intellectual as well as physical and spiritual ground of experience|god|God is the (intellectual as well as physical and spiritual) ground of experience in and of itself.|03036991c3c1430194b17a581d17aeac||
very ancient notion of god|creation|God as an integral aspect of his creation - God is everything, God is in everything|03036991c3c1430194b17a581d17aeac||
philosophia|western thought|In these initial intellectual systems, the philosophia of the West was laid as a function of the Indo-European subject and object based linguistic constructs, effectively the foundations Western thought.|bd5d64482223406f8260808f4dcf444b||
science|western thought|After Philosophy as a discipline split between natural and theoretical lines, Science reflects the reductionist emphasis that we are confronted with today.|bd5d64482223406f8260808f4dcf444b||
plato|metaphysician|Plato primarily as the perhaps the first metaphysician|bd5d64482223406f8260808f4dcf444b||
plato|theologian|Despite his rational bent, he still nonetheless captured in a way that ancient mystical quality that is characteristic of the Paleolithic religions throughout Eurasia which preceded him - what we refer to quite broadly as shamanism.|bd5d64482223406f8260808f4dcf444b||
plotinus|neo-platonist|This mystic quality is again best captured in the Platonic philosophy of Plotinus, the quintessential Neo-Platonist|bd5d64482223406f8260808f4dcf444b||
one|many|His doctrine of the One which manifests itself, via emanation of sorts, into the many by way of the Divine Intellect, or Nous.|bd5d64482223406f8260808f4dcf444b||
neo-platonism|indian philosophy|From a mystical and theological standpoint in fact is eerily similar to its Indo-European brother on the Indian subcontinent, the philosophy we find implicit to the Upanishads which forms the basis of Vedānta.|bd5d64482223406f8260808f4dcf444b||
brahman|brahmā|Brahman, a metaphysical abstraction in the extracted ontology, is related to Brahmā, the creator of the universe in the Vedic mythos. This relationship stems from Brahman being minus the numerological significance inherent to the Neo-Platonic One.|11d53ee631b148c4ba2dfe7412820c02||
nous|ṛta|The cosmic ordering principle of Ṛta, which comes to be understood as dharma in the later Indian philosophical tradition and Buddhism, corresponds quite elegantly to Nous, a sort of Divine Intellect that is rational and reflects a sense of order in Neo-Platonic philosophy.|11d53ee631b148c4ba2dfe7412820c02||
dharma|nous|In both Neo-Platonism as well as with Upanishadic philosophy, dharma, the cosmos is brought into existence through this all-pervading cosmic principle reflected in the individual Soul, which corresponds quite neatly to Nous, a sort of Divine Intellect that is rational and reflects a sense of order.|11d53ee631b148c4ba2dfe7412820c02||
soul|ātman|Furthermore, in both Neo-Platonism as well as with Upanishadic philosophy and Christianity as well, the individual manifestation of Brahman through which his creation is experienced, referred to as the Soul, corresponds again quite neatly to Ātman.|11d53ee631b148c4ba2dfe7412820c02||
chinese theo-philosophical framework|ontological solution|The Chinese theo-philosophical framework presents an ontological solution in response to metaphysical and epistemological problems.|46904e6a05d24a40ac099fbe98fd33c8||
chinese theo-philosophical framework|means by which one can have dialogue with it|The Chinese theo-philosophical framework provides a way for individuals to communicate with the primordial ontological system within which they exist.|46904e6a05d24a40ac099fbe98fd33c8||
primordial ontological system|individual|Individuals are entities that exist within the primordial ontological system.|46904e6a05d24a40ac099fbe98fd33c8||
eastern philosophical systems|reductionist ontology|The Eastern philosophical systems do not accommodate a reductionist ontology.|46904e6a05d24a40ac099fbe98fd33c8||
eastern philosophical systems|vocabulary|The vocabulary of Eastern philosophical systems does not support the existence of a reductionist ontology.|46904e6a05d24a40ac099fbe98fd33c8||
ancient times|establishment of the philosophical tradition|The origins of philosophy in ancient times provide us with the best opportunity, in terms of vocabulary and model, to re-integrate that which was lost when we went down the reductionist and materialist path through and via Science.|46904e6a05d24a40ac099fbe98fd33c8||
ancient philosophical systems|theological aspects|Despite their power in integrating the mystical directly into the philosophical framework as if were, ancient philosophical systems are lacking in terms of integrating the last millennia or so of intellectual developments, specifically Science and philosophy advancements since Kant, who effectively integrates empiricist (materialist) and rationalist (idealists) philosophical schools.|b74d2800be8b40bcb70811733e221f0d||
kant|god|In Kant's philosophy, God is an intellectual construct, a necessary condition of his Metaphysics of Morals, but nonetheless not the ontological penultimate principle in any way.|b74d2800be8b40bcb70811733e221f0d||
ancient philosophical systems|kant's philosophy|Nonetheless are lacking in terms of integrating the last millennia or so of intellectual developments, specifically Science and philosophy advancements since Kant.|b74d2800be8b40bcb70811733e221f0d||
empiricist (materialist) philosophical schools|rationalist (idealists) philosophical schools|Kant effectively integrates empiricist (materialist) and rationalist (idealists) philosophical schools that had evolved and countered each other since the very dawn of philosophy, civilization really, in the West.|b74d2800be8b40bcb70811733e221f0d||
copernican revolution|newtonian mechanics|Ancient philosophical systems are lacking in terms of integrating the last millennia or so of intellectual developments, as reflected specifically for example in the domain of Science, i.e. Physics as it has evolved through the Copernican revolution, Newtonian Mechanics and then most recently with Quantum Mechanics.|b74d2800be8b40bcb70811733e221f0d||
kant's epistemology|truth|For Kant, Reason is the benchmark of truth, which exists within and is ultimately bound and defined by mankind's ability to perceive or understand.|f3c6434d6874448d884b79cc32813bb2||
kant's epistemology|mankind's ability to perceive or understand|For Kant, his epistemology is fundamentally psychological as it is bound and defined by mankind's ability to perceive or understand.|f3c6434d6874448d884b79cc32813bb2||
pirsig's metaphysics of quality|god|In Pirsig's new metaphysical framework, the direct experience of God is presented as a possible firm element of truth from which all truth and knowledge stem.|f3c6434d6874448d884b79cc32813bb2||
pirsig's metaphysics of quality|quality|In Pirsig's new paradigm based on the metaphysical notion of Quality, this concept doesn't truly integrate the mystical experience in a meaningful way.|f3c6434d6874448d884b79cc32813bb2||
pirsig's metaphysics of quality|value|In Pirsig's work, his new paradigm based on the metaphysical notion of Quality hints at a new ontology, but it focuses more on the metaphysics of value rather than integrating the mystical experience in a meaningful way.|f3c6434d6874448d884b79cc32813bb2||
pirsig's metaphysics of quality|morality|From Pirsig's new paradigm based on the metaphysical notion of Quality, a broader and more encompassing system of morality can effectively be inferred.|f3c6434d6874448d884b79cc32813bb2||
pirsig's metaphysics of quality|western paradigm|While Pirsig's new paradigm based on the metaphysical notion of Quality is extraordinarily powerful, it's an altogether Western paradigm from a theological standpoint.|f3c6434d6874448d884b79cc32813bb2||
western ideology|eastern philosophical notion of mysticism|The integration of Eastern philosophy with Western Reason requires a new ontological paradigm due to the proliferation of Western ideology taken to the extreme, resulting in societal and political issues.|e0855f79659e40a9a43fc34675858649||
missing core intellectual paradigm|problems on grander scale at sociological and political level|The absence of a fundamental intellectual structure leads to individual decisions as well as sociopolitical challenges and crises.|e0855f79659e40a9a43fc34675858649||
quantum era|current era of crisis|The current era is characterized by persistent challenges and problems, defining the ongoing crisis.|e0855f79659e40a9a43fc34675858649||
ontological problem|higher order of reality|required in order to explain the full range of phenomenon|b1b80b016bc140eabe364ce6e3cb9f7c||
ontological problem|epistemological problem|in the sense that our current notions of knowledge are wholly inadequate for the job at hand|b1b80b016bc140eabe364ce6e3cb9f7c||
reality|physical phenomenon|objective reality|b1b80b016bc140eabe364ce6e3cb9f7c||
reality|experiential reality|within which experience itself can take place as a phenomenon in itself|b1b80b016bc140eabe364ce6e3cb9f7c||
world|how we define|the inverse which is effectively how 'the world' can be known as well as the inverse which is effectively how we define 'the world'|b1b80b016bc140eabe364ce6e3cb9f7c||
epistemological paradigm|full range of phenomenon|An epistemological paradigm is necessary to encompass the entire spectrum of phenomena, as opposed to just physical or rational realities proposed by philosophers like Aristotle, Bacon, Locke, Plato, Descartes, and Leibniz.|09d4195be65a44358fd34601bd9c2158||
full range of phenomenon|expansion of notion|The concept of phenomena is being expanded to include not only physical or rational realities, but also psychological or experiential ones, as proposed by philosophers like Kant, Freud, and Jung.|09d4195be65a44358fd34601bd9c2158||
supra-rational|ontological and metaphysical paradigm|enables the establishment of a more global and holistic intellectual paradigm that is applicable beyond just the domain of Philosophy to tackle persistent and global problems in the Quantum Era|028c4b65db5d44a699a817ad22063e87||
phenomena|ontological and metaphysical paradigm|covers the range of phenomena that are fully integrated as first principles, arche, rather than left outside of it as defining attributes or characteristics|028c4b65db5d44a699a817ad22063e87||
kant|ontological and metaphysical paradigm|falls short of what is needed to address persistent and global problems in the Quantum Era, although he laid much of the groundwork for this paradigm|028c4b65db5d44a699a817ad22063e87||
consistency|rationality|are maintained in order to achieve a more global and holistic intellectual paradigm that can address persistent and global problems in the Quantum Era|028c4b65db5d44a699a817ad22063e87||
global challenges|quantum era|characteristics of our time that require a more global and holistic intellectual paradigm to address|028c4b65db5d44a699a817ad22063e87||
kant's philosophy|revolutionary|Kant's philosophy is characterized as revolutionary due to its ability to integrate the realities of rationalists and empiricists in a single metaphysical system.|c27b8da857b3437b9fc0077abd50851d||
kant's philosophy|integrates|Kant's philosophy integrates the realities of rationalists and empiricists in a single metaphysical system.|c27b8da857b3437b9fc0077abd50851d||
rationalists|realities|The realities of rationalists are integrated into Kant's philosophy.|c27b8da857b3437b9fc0077abd50851d||
empiricists|realities|The realities of empiricists are integrated into Kant's philosophy.|c27b8da857b3437b9fc0077abd50851d||
kant's philosophy|declares|In Kant's philosophy, knowledge is declared to be how we perceive it through our cognitive faculties and that no other definition of it stands to Reason.|c27b8da857b3437b9fc0077abd50851d||
knowledge|how we perceive it|Knowledge is defined as how we perceive it through our cognitive faculties in Kant's philosophy.|c27b8da857b3437b9fc0077abd50851d||
rationalists|definition of knowledge|The definition of knowledge as put forward by rationalists is rejected in Kant's philosophy.|c27b8da857b3437b9fc0077abd50851d||
empiricists|definition of knowledge|The definition of knowledge as put forward by empiricists is rejected in Kant's philosophy.|c27b8da857b3437b9fc0077abd50851d||
kant's philosophy|declares|In Kant's philosophy, space and time themselves disappear when the subject or even only the subjective constitution of our senses is taken away.|c27b8da857b3437b9fc0077abd50851d||
spatiality|disappears|In Kant's philosophy, spatiality disappears when the subject or even only the subjective constitution of our senses is taken away.|c27b8da857b3437b9fc0077abd50851d||
temporality|disappears|In Kant's philosophy, temporality disappears when the subject or even only the subjective constitution of our senses is taken away.|c27b8da857b3437b9fc0077abd50851d||
space|nothing in itself|According to Kant's philosophy, space itself through which they fall, is nothing in itself but both are mere modifications or fundamental dispositions of our sensible intuition.|c27b8da857b3437b9fc0077abd50851d||
time|nothing in itself|According to Kant's philosophy, even time itself through which they fall, is nothing in itself but both are mere modifications or fundamental dispositions of our sensible intuition.|c27b8da857b3437b9fc0077abd50851d||
raindrops|mere appearances|In Kant's philosophy, the raindrops themselves are merely appearances.|c27b8da857b3437b9fc0077abd50851d||
circular form|mere modifications|According to Kant's philosophy, the circular form of raindrops is a mere modification or fundamental disposition of our sensible intuition.|c27b8da857b3437b9fc0077abd50851d||
transcendental object|unknown to us|According to Kant's philosophy, the nature and relations of objects considered as things in themselves and without reference to the receptivity of our sensibility is quite unknown to us.|c27b8da857b3437b9fc0077abd50851d||
kant's philosophy|copernican revolution|Kant's philosophy represents a Copernican revolution of philosophy in which objective phenomenon and their relations, as well as space and time themselves, are fundamentally psychological phenomena.|c27b8da857b3437b9fc0077abd50851d||
reason|man|Both Reason and man are considered distinguishing characteristics that separate them from the rest of the species on the planet.|63d0743360a34d84b77a021341fb10f8||
reason|divine|According to virtually every theo-philosophical tradition, Reason is the means by which man is created in God's image and it is implied in the Eastern theo-philosophical traditions as well.|63d0743360a34d84b77a021341fb10f8||
reason|cosmic reason|Reason orders the universe, and it is the cosmic Reason through which the universe is born and sustained in the Neo-Platonic Nous.|63d0743360a34d84b77a021341fb10f8||
man|divine|Both man and the divine are believed to be fundamentally united, as expressed so eloquently in the Judeo-Christian tradition, i.e. the Logos.|63d0743360a34d84b77a021341fb10f8||
man|spiritual being|Man is considered a spiritual being, as a rational being, which gives it the unique disposition and capability to experience the divine directly in Eastern theo-philosophical traditions.|63d0743360a34d84b77a021341fb10f8||
kant|pirsig|Both Kant and Pirsig follow similar lines, going back to the beginning as it were, where Reason is considered to be the primordial and most fundamental principle under which all domains of knowledge should be conceived.|63d0743360a34d84b77a021341fb10f8||
enlightenment era philosophy|kant's work|Kant's work is a specific example of Enlightenment Era philosophy.|e004a241b48d4abbb9ae73aee9d2dbf0||
kant's philosophy|enlightenment era philosophy|Kant's philosophy is a type of Enlightenment Era philosophy.|e004a241b48d4abbb9ae73aee9d2dbf0||
metaphysics|kant's work|Kant's work, specifically his Critique, represents the very height of Metaphysics during the Enlightenment Era.|e004a241b48d4abbb9ae73aee9d2dbf0||
transcendental idealism|kant's philosophy|Kant's philosophy is characterized by transcendental idealism.|e004a241b48d4abbb9ae73aee9d2dbf0||
coherence|kant's position|Kant's position, specifically his transcendental idealism, is rationally coherent and complete.|e004a241b48d4abbb9ae73aee9d2dbf0||
utilty|kant's position|Kant's position, specifically his transcendental idealism, is fundamentally useful.|e004a241b48d4abbb9ae73aee9d2dbf0||
incompleteness|said system|Given what we know now, said system, in particular Kant's philosophy, is found to be lacking or incomplete.|e004a241b48d4abbb9ae73aee9d2dbf0||
coherence|said system|Previously, the coherence of said system was presumed and accepted.|e004a241b48d4abbb9ae73aee9d2dbf0||
human mind|kant's metaphysics|starting point for taking ontological first principle|e27516625d5a428e9684ee6801adec8a||
human mind|cognitive engine|equated by Kant through which all knowledge gained|e27516625d5a428e9684ee6801adec8a||
a priori knowledge|human mind|unique type of knowledge that is gained by this cognitive entity|e27516625d5a428e9684ee6801adec8a||
time and space|a priori knowledge|represent not basic objective or rational phenomena but phenomena that exist as a function of the mind and its cognitive capabilities|e27516625d5a428e9684ee6801adec8a||
knowledge|human experience|bound by in Kant's epistemological position|e27516625d5a428e9684ee6801adec8a||
three basic functions|human mind|for arriving at knowledge of anything, as much as knowledge can be arrived at|e27516625d5a428e9684ee6801adec8a||
kant's epistemic framework|context|we adopt a more modern psychological description herein for each of the three faculties that Kant presented as properties of mind|e27516625d5a428e9684ee6801adec8a||
perception|physical world|In his mental cognitive framework, perception directly interfaces with and/or perceives the physical world.|6afedefb762946fd83c331f7c7e0e78f||
comprehension|perception|Comprehension works with the faculty of perception to make sense of that which is being experienced.|6afedefb762946fd83c331f7c7e0e78f||
understanding|experience|Understanding is capable of fully intellectually absorbing the meaning of an experience|6afedefb762946fd83c331f7c7e0e78f||
comprehension|understanding|While it is a rational faculty, comprehension does not operate on the same level of rational abstraction as understanding.|6afedefb762946fd83c331f7c7e0e78f||
comprehension|sociological|Through comprehension, man is able to apply various higher level intellectual paradigms - sociological, philological, biological, etc. - to an experience|6afedefb762946fd83c331f7c7e0e78f|biological|
understanding|sociological|By which sensory input is integrated with mind given its various cognitive faculties, through which a deeper level of meaning, or purpose, relative to comprehension certainly, can be acquired.|6afedefb762946fd83c331f7c7e0e78f|philological|biological
kantian|metaphysics|A Kantian would argue that the question of the significance of this concept in navigating through reality is of no consequence epistemologically as all knowing, all knowledge itself, is a process of apprehension based upon sensory experience combined with perception (aesthetics) and comprehension and understanding as pure cognitive facilities (logic) - at least according to Kant.|7023fe9fbec84ed1b134c069e638b98f||
kant|empricial realist position|Kant yields to an emprirical realist position more or less, expanding the position somewhat to include a priori concepts such as time and space which allow for the inclusion of classically rationalist epistemological positions to be satisfied with his so-called transcendental idealism - but bounded the notion of knowledge itself within the confines of the mind, and cognition, effectively.|7023fe9fbec84ed1b134c069e638b98f||
experience|subjective experiencer|Experience cannot be truly known without a subjective, embodied experiencer through which knowledge in any form is possible.|fb124986290242fca98717f4866cc82a||
ground of experience|experience|The ground of experience itself is necessary for truly knowing anything.|fb124986290242fca98717f4866cc82a||
objective realism|predominant ontological perspective|Objective realism was the predominant ontological perspective during the era in question.|fb124986290242fca98717f4866cc82a||
kant|overlooked spatial, time and embodiment constraints|Kant overlooked the implicit spatial, time and embodiment constraints that encase the entire cognitive, epistemological framework.|fb124986290242fca98717f4866cc82a||
a priori|assumptions|Kant pushed the predominant worldview into his transcendental background and then called these assumptions a priori.|fb124986290242fca98717f4866cc82a||
western philosophy|lacks metaphysical structure|Western philosophy is so deeply steeped in objective realism that it lacks the metaphysical structure to incorporate and ultimately adequately explain, the nature of experience itself.|fb124986290242fca98717f4866cc82a||
being|nature of experience|Being is what the ancients called it - the nature of experience itself.|fb124986290242fca98717f4866cc82a||
cognition|metaphysical perspective|Cognition is derived from a metaphysical perspective, which suggests that there must be some ground for the process of cognition itself.|6d9ed9d226d84aae8beace26b08dfc8c||
human being|cognitive capabilities|A human being (or any thinking animal for that matter) derives its cognitive capabilities from which its intelligence so to speak, from which its cognitive act is defined relative to.|6d9ed9d226d84aae8beace26b08dfc8c||
rational entity|cognitive engine|The rational entity exists within and/or to which the cognitive act exists relative to, and perhaps most importantly to which the cognitive engine is sourced from.|6d9ed9d226d84aae8beace26b08dfc8c||
kant|definitive boundaries of knowledge|Kant is more concerned with establishing definitive, and objectively and empirically focused, boundaries of knowledge itself.|6d9ed9d226d84aae8beace26b08dfc8c||
philosophy|objectively and empirically based and physical sciences|Kant's focus on the objective, empirically based and physical sciences as the basis for Philosophy, rather than the other way around which is how Aristotle designed his system of philsoohy and most certaionly how we are (re)construicting ours here (following Arisotle).|6d9ed9d226d84aae8beace26b08dfc8c||
aristotle|system of philosophy|The way Aristotle designed his system of philsoohy is how we are (re)construicting ours here.|6d9ed9d226d84aae8beace26b08dfc8c||
critical point|kantian's boundary of knowledge|pivotal with respect to the task at hand that looks to transform Kant's philosophy, expanding it really, such that it is capable of absorbing, subsuming and incorporating supraconsciousness and Jung's collective unconscious, which lie outside of Kantian's boundary of knowledge.|ff10c7ee95754945ac205f63b71e7311||
obvious point|kantian's boundary of knowledge|discounted from an epistemological perspective by Kant given the boundaries of knowledge that he sets forth|ff10c7ee95754945ac205f63b71e7311||
reason|metaphysical or ontological principle|The implication here, and this is profound - and in some sense is itself a rational deduction which in and of itself is ironic in a way - is that Reason itself is bound and constrained. In order to account for mysticism, or God really, in any sort of intellectual framework, any sort of ideological system, we must move beyond Reason given said constraints of the tool at hand. Therefore, in order to create an ontological framework which accounts for, and describes in any sort of meaningful way, ideas that are fundamentally supra-rational, i.e. God as reflected in fundamentally mystical states of consciousness or being, we must, again as a rational deduction of sorts, establish a system that subsumes Reason itself.|4edb984a9c384c04bf745f86fdc402d2||
metaphysical or ontological principle|kant's epistemological framework|having established the need for a requisite metaphysical or ontological principle within which Kant's epistemological framework - again Reason or mind - must be subsumed, by which its existence itself must ultimately depend,|4edb984a9c384c04bf745f86fdc402d2||
awareness|metaphysical principle|This primordial metaphysical principle, which we will call 'awareness', is a necessary dependent metaphysical construct upon which both Kant's theoretical and practical philosophy rests. It requires some sort of consciousness or other quality of being or existence that gives it cognitive properties.|1f52e9b7667b4f0a8ccd1c1c83c2df58||
awareness|consciousness|Awareness, as a necessary dependent metaphysical construct, requires some sort of consciousness for the cognitive process itself to be active, alive and essentially aware.|1f52e9b7667b4f0a8ccd1c1c83c2df58||
